欄位名稱(中),原始欄位名稱,資料表名稱,資料層級,欄位名稱(英),中文值標籤,序號,型態,簡易說明,資料變動說明,本單位新增,資料涵蓋學年度
,學期間退學人數-因經濟困難,學14-2.退學人數-以「校(含學制班別)」統計,,,,20,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-因生涯規劃,學14-2.退學人數-以「校(含學制班別)」統計,,,,21,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學期間退學人數-其他(不含死亡),學14-2.退學人數-以「校(含學制班別)」統計,,,,22,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,1,int64,,,0.0,106 ;107 ;108 ;109 ;110
,設立別,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,2,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校類別,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,3,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校統計處代碼,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,4,object,,,0.0,106 ;107 ;108 ;109 ;110
,學校名稱,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,5,object,,,0.0,106 ;107 ;108 ;109 ;110
,學制班別,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,6,object,,,0.0,106 ;107 ;108 ;109 ;110
,參與競賽獲獎人次,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,7,int64,,,0.0,106 ;107 ;108 ;109 ;110
,學生論文出版及展演活動篇數(場數),學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,8,int64,,,0.0,106 ;107 ;108 ;109 ;110
,學生論文出版及展演活動人次,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,9,int64,,,0.0,106 ;107 ;108 ;109 ;110
,在學學生出席國際會議人次,學15.在學學生參與競賽、論文出版等成效-以「校(含學制班別)」統計,,,,10,int64,,,0.0,106 ;107 ;108 ;109 ;110
,學年度,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,1,int64,,,0.0,107 ;108 ;109 ;110 ;111
,設立別,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,2,object,,,0.0,107 ;108 ;109 ;110 ;111
,學校類別,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,3,object,,,0.0,107 ;108 ;109 ;110 ;111
,學校統計處代碼,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,4,object,,,0.0,107 ;108 ;109 ;110 ;111
,學校名稱,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,5,object,,,0.0,107 ;108 ;109 ;110 ;111
,學制班別,學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,6,object,,,0.0,107 ;108 ;109 ;110 ;111
,前一學年度錄取1年級在學學生人數(A),學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,7,int64,,,0.0,107 ;108 ;109 ;110 ;111
,當學年度2年級在學學生數(B),學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,8,int64,,,0.0,107 ;108 ;109 ;110 ;111
,前一學年度學生就學穩定率(%)(C)(C=B/A),學16.學士班以下就學穩定率-以「校(含學制班別)」統計,,,,9,float64,,,0.0,107 ;108 ;109 ;110 ;111
,學年度,學17.獎助生及勞僱型學生兼任助理人數-以「校」統計,,,,1,int64,,,0.0,109 ;110
,設立別,學17.獎助生及勞僱型學生兼任助理人數-以「校」統計,,,,2,object,,,0.0,109 ;110
,學校類別,學17.獎助生及勞僱型學生兼任助理人數-以「校」統計,,,,3,object,,,0.0,109 ;110
,學校統計處代碼,學17.獎助生及勞僱型學生兼任助理人數-以「校」統計,,,,4,object,,,0.0,109 ;110
,學校名稱,學17.獎助生及勞僱型學生兼任助理人數-以「校」統計,,,,5,object,,,0.0,109 ;110
,獎助生人數(含研究獎助生、附服務負擔助學生),學17.獎助生及勞僱型學生兼任助理人數-以「校」統計,,,,6,int64,,,0.0,109 ;110
,勞僱型學生兼任助理人數(含研究助理、教學助理、工讀生),學17.獎助生及勞僱型學生兼任助理人數-以「校」統計,,,,7,int64,,,0.0,109 ;110
,學年度,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,1,int64,,,0.0,109 ;110
,設立別,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,2,object,,,0.0,109 ;110
,學校類別,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,3,object,,,0.0,109 ;110
,學校統計處代碼,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,4,object,,,0.0,109 ;110
,學校名稱,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,5,object,,,0.0,109 ;110
,工讀助學金純助學型-人數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,6,int64,,,0.0,109 ;110
,工讀助學金純助學型-金額,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,7,int64,,,0.0,109 ;110
,工讀助學金純助學型-時數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,8,float64,,,0.0,109 ;110
,工讀助學金純勞僱型-人數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,9,int64,,,0.0,109 ;110
,工讀助學金純勞僱型-金額,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,10,int64,,,0.0,109 ;110
,工讀助學金純勞僱型-時數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,11,float64,,,0.0,109 ;110
,工讀助學金純附服務負擔型-人數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,12,int64,,,0.0,109 ;110
,工讀助學金純附服務負擔型-金額,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,13,int64,,,0.0,109 ;110
,工讀助學金純附服務負擔型-時數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,14,float64,,,0.0,109 ;110
,生活助學金純助學型-人數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,15,int64,,,0.0,109 ;110
,生活助學金純助學型-金額,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,16,int64,,,0.0,109 ;110
,生活助學金純助學型-時數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,17,float64,,,0.0,109 ;110
,生活助學金純附服務負擔型-人數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,18,int64,,,0.0,109 ;110
,生活助學金純附服務負擔型-金額,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,19,int64,,,0.0,109 ;110
,生活助學金純附服務負擔型-時數,學18.學校執行工讀及生活助學金情形-以「校」統計,,,,20,float64,,,0.0,109 ;110
,學年度,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,1,int64,,,0.0,109 ;110
,設立別,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,2,object,,,0.0,109 ;110
,學校類別,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,3,object,,,0.0,109 ;110
,學校統計處代碼,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,4,object,,,0.0,109 ;110
,學校名稱,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,5,object,,,0.0,109 ;110
,工作月數,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,6,object,,,0.0,109 ;110
,"獎助生月支領金額人數-月領3,000元以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,7,int64,,,0.0,109 ;110
,"獎助生月支領金額人數-月領3,001~6,000元以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,8,int64,,,0.0,109 ;110
,"獎助生月支領金額人數-月領6,001~9,000元以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,9,int64,,,0.0,109 ;110
,"獎助生月支領金額人數-月領9,001~基本工資一半以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,10,int64,,,0.0,109 ;110
,獎助生月支領金額人數-月領基本工資一半以上~未達基本工資以下,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,11,int64,,,0.0,109 ;110
,獎助生月支領金額人數-月領基本工資以上,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,12,int64,,,0.0,109 ;110
,"勞僱型學生兼任助理月支領金額人數-月領3,000元以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,13,int64,,,0.0,109 ;110
,"勞僱型學生兼任助理月支領金額人數-月領3,001~6,000元以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,14,int64,,,0.0,109 ;110
,"勞僱型學生兼任助理月支領金額人數-月領6,001~9,000元以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,15,int64,,,0.0,109 ;110
,"勞僱型學生兼任助理月支領金額人數-月領9,001~基本工資一半以下",學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,16,int64,,,0.0,109 ;110
,勞僱型學生兼任助理月支領金額人數-月領基本工資一半以上~未達基本工資以下,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,17,int64,,,0.0,109 ;110
,勞僱型學生兼任助理月支領金額人數-月領基本工資以上,學19.兼任助理平均每月支給金額人數統計表-以「校」統計,,,,18,int64,,,0.0,109 ;110
,學年度,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所代碼,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,系所名稱,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,7,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,8,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生數小計,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生數男,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,10,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生數女,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,11,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得輔系資格人數小計,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,12,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得輔系資格人數男,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,13,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得輔系資格人數女,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,14,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得雙主修資格人數小計,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,15,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得雙主修資格人數男,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,16,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得雙主修資格人數女,學2-1.畢業生數及其取得輔系、雙主修資格人數-以「系(所)」統計,,,,17,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,1,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,設立別,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,2,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校類別,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,3,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校統計處代碼,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,4,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學校名稱,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,5,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學制班別,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,6,object,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生數小計,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,7,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生數男,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,8,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生數女,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,9,int64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得輔系資格人數小計,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,10,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得輔系資格人數男,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,11,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得輔系資格人數女,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,12,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得雙主修資格人數小計,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,13,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得雙主修資格人數男,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,14,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,畢業生取得雙主修資格人數女,學2-2.畢業生數及其取得輔系、雙主修資格人數-以「校(含學制班別)」統計,,,,15,float64,,,0.0,105 ;106 ;107 ;108 ;109 ;110
,學年度,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,1,int64,,,0.0,107 ;108 ;109 ;110
,設立別,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,2,object,,,0.0,107 ;108 ;109 ;110
,學校類別,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,3,object,,,0.0,107 ;108 ;109 ;110
,學校統計處代碼,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,4,object,,,0.0,107 ;108 ;109 ;110
,學校名稱,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,5,object,,,0.0,107 ;108 ;109 ;110
,學院名稱,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,6,object,,,0.0,107 ;108 ;109 ;110
,系所代碼,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,7,object,,,0.0,107 ;108 ;109 ;110
,系所名稱,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,8,object,,,0.0,107 ;108 ;109 ;110
,學制班別,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,9,object,,,0.0,107 ;108 ;109 ;110
,學籍分組,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,10,object,,,0.0,107 ;108 ;109 ;110
,畢業授予學位-中文名稱,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,11,object,,,0.0,107 ;108 ;109 ;110
,畢業授予學位-英文名稱-全稱,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,12,object,,,0.0,107 ;108 ;109 ;110
,畢業授予學位-英文名稱-簡稱,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,13,object,,,0.0,107 ;108 ;109 ;110
,畢業總人數-小計,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,14,int64,,,0.0,107 ;108 ;109 ;110
,畢業總人數-男,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,15,int64,,,0.0,107 ;108 ;109 ;110
,畢業總人數-女,學2-3.畢業授予學位之中英文名稱及人數表-以「系(所)」統計,,,,16,int64,,,0.0,107 ;108 ;109 ;110
,學年度,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,1,int64,,,0.0,108 ;109 ;110
,設立別,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,2,object,,,0.0,108 ;109 ;110
,學校類別,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,3,object,,,0.0,108 ;109 ;110
,學校統計處代碼,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,4,object,,,0.0,108 ;109 ;110
,學校名稱,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,5,object,,,0.0,108 ;109 ;110
,學院名稱,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,6,object,,,0.0,108 ;109 ;110
,系所代碼,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,7,object,,,0.0,108 ;109 ;110
,系所名稱,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,8,object,,,0.0,108 ;109 ;110
,學制班別,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,9,object,,,0.0,108 ;109 ;110
,學籍分組,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,10,object,,,0.0,108 ;109 ;110
,畢業總人數,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,11,int64,,,0.0,108 ;109 ;110
,畢業生修讀學術倫理教育課程人數,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,12,int64,,,0.0,108 ;109 ;110
,學位論文不公開件數,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,13,int64,,,0.0,108 ;109 ;110
,學位論文考試委員人次-符合各學位考試委員職級之教師或院士,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,14,int64,,,0.0,108 ;109 ;110
,學位論文考試委員人次-有博士學位且學術有成就,學2-4.畢業碩、博士學位論文資料-以「系(所)」統計,,,,15,int64,,,0.0,108 ;109 ;110
